Country,Rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,capital_cities_by_total_population,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage
United States,1,341963408,150463900,124816644,4445524,1333030,799500,0,,13032,1791,926,917,2610,611,610,5913,1024,4666,409660,1521,1878,1731,465,8265799,11,9,66,83,0,27,0,4,831500000000,24538900710000,25676000000000,910037000000,16116,174174000,666,293564,6586610,20953000,20307000,38212000000,1029000000000,914301000000,13402000000000,534234000,495156000,247883000000,9833517,19924,12002,41009
Russia,2,140820810,69002197,46189226,1267387,1320000,2000000,250000,,4237,861,698,458,530,137,18,1643,556,5630,126512,3603,5920,2486,747,1426539,1,0,66,13,12,79,70,45,212638272000,226475750000,6089000000000,597217000000,905,72517000,67,85494,1283387,10879000,3863000,80000000000,617830000000,472239000000,47805000000000,531130000,290763000,162166000000,17098242,37653,22407,102000
China,3,1415043270,764123366,626864169,19810606,2035000,510000,625000,,3529,1443,371,287,401,105,9,1007,281,5870,152040,2940,1400,2770,841,3192411,3,4,61,53,46,50,150,36,303000000000,488114000000,33598000000000,3456000000000,552,773880000,66,150000,5200000,4984000,16189000,26023000000,225341000000,366160000000,6654000000000,4805000000,5191000000,157041000000,9596960,14500,22457,27700
India,4,1409128296,662290299,522786598,23955181,1431000,1000000,2527000,,2183,476,124,277,334,72,6,594,79,3913,163554,100,5640,300,343,631989,2,0,18,13,18,21,146,0,109000000000,212728000000,14244000000000,643043000000,315,607691000,56,65554,6371847,822000,5271000,4605000000,33170000000,58867000000,1381000000000,1020000000,1262000000,127727000000,3287263,7000,13888,14500
South Korea,5,52081799,26040900,21353538,416654,450000,3100000,120000,,1540,242,98,40,335,35,4,827,113,1831,117460,2780,5800,525,215,427946,0,2,22,14,18,3,96,14,44800000000,553871450000,2607000000000,418219000000,92,29713000,15,3979,100428,38000,2542000,0,55127000,59480000000,7079000000,16081000,136817000,326000000,99720,2413,237,1600
France,6,68374591,30084820,23794358,752121,264000,43444,150000,,974,223,0,118,140,44,15,452,67,427,110784,74,0,9,166,487471,1,3,9,11,5,0,22,19,67232395000,7691315390000,3732000000000,282857000000,1218,31725000,66,27860,1053215,80000,1536000,61719000,20132000,37001000000,7787000000,2157000,12570000,160000000,643801,4853,4072,8501
Japan,7,123201945,52976836,42874277,1108818,251500,56000,25000,,1429,217,47,53,399,135,10,583,118,734,54390,193,480,99,158,798062,0,4,23,41,8,0,6,18,58000000000,5147667910000,5715000000000,1231000000000,280,69382000,163,27311,1218772,8000,3140000,44115000,2220000000,92843000000,20898000000,27657000,197612000,350000000,377915,29751,0,1770
United Kingdom,8,68459055,31491165,25192932,753050,141330,31940,0,,625,103,38,30,201,29,9,262,50,288,94064,14,126,43,116,406308,2,0,10,6,7,0,26,8,88526529585,10553123900000,3636000000000,174598000000,1057,35359000,185,16390,416461,753000,1406000,2500000000,37758000000,70141000000,180661000000,1568000,7372000,26000000,243610,12429,499,3200
Turkiye,9,84119531,42985080,36087279,1430032,481000,380000,150000,,1101,201,0,84,301,27,7,509,111,2284,98193,1045,635,237,192,349739,0,1,14,0,17,9,40,11,51400000000,149654000000,3018000000000,154744000000,116,36081000,54,11497,68526,83000,1107000,366000000,379701000,52887000000,3794000000,82534000,124183000,10975000000,783562,7200,2816,1200
Italy,10,60964931,27434219,22191235,548684,165500,18300,105000,,714,88,65,31,152,22,8,352,37,203,87364,64,108,21,285,387892,2,0,8,3,14,0,15,10,37325165000,3025000000000,3133000000000,290547000000,655,25828000,123,18475,228863,111000,1245000,497934000,3117000000,68735000000,45750000000,1572000,12424000,609999000,301340,7600,1836,2400
Brazil,11,220051512,112226271,88680759,3520824,376000,1340000,200000,,495,44,30,107,124,25,0,186,0,294,22464,149,412,82,69,166419,0,1,6,0,8,2,22,4,26400000000,198582000000,4165000000000,329732000000,5297,106790000,45,29850,2000000,4221000,3163000,12715000000,22670000000,31654000000,363985000000,15556000,32223000,6596000000,8515770,7491,16145,50000
Germany,12,84119100,38694786,30955829,841191,184324,860000,0,,569,127,63,55,16,27,3,292,49,296,87338,134,0,33,96,241492,0,0,6,0,11,6,54,12,127400090000,6862470230000,5247000000000,377936000000,840,43772000,35,39379,830000,131000,2062000,115200000,4824000000,77516000000,23390000000,109741000,140994000,35400000000,357022,2389,3694,7300
Indonesia,13,281562465,137965608,114595923,4786562,404500,401000,250000,,460,41,34,73,114,15,1,212,15,331,28064,153,396,67,338,324754,0,0,4,0,10,26,211,10,11155297716,225273000000,4102000000000,155708000000,556,143144000,123,8159,496607,865000,1645000,2480000000,57410000000,36061000000,1408000000000,783453000,281159000,35055000000,1904569,54716,2958,21579
Pakistan,14,252363571,108516336,85803614,4794908,660000,550000,500000,,1397,331,90,63,563,27,4,379,55,2677,59044,662,2629,652,120,115187,0,0,8,0,9,6,79,3,9102115350,89148000000,1390000000000,18408000000,117,83644000,3,11881,264175,91000,645000,540000000,36937000000,46448000000,592219000000,13765000,30191000,2857000000,796095,1046,7257,0
Israel,15,9402617,3949099,3281513,131637,169500,465000,35000,,597,239,45,14,148,19,13,127,48,1300,62380,323,171,228,82,40638,0,0,6,0,0,7,66,0,34600000000,163350000000,472177000000,214544000000,40,4710000,5,1497,20391,15000,219000,12730000,22886000000,11510000000,176018000000,0,5297000,0,21937,273,1068,0
Iran,16,88386937,49496685,41541860,1414191,610000,350000,220000,,551,188,21,86,103,10,6,129,13,2675,75939,424,1803,1550,109,283516,0,0,25,0,7,3,21,1,9230000000,6759000000,1486000000000,120600000000,177,28575000,18,8484,223485,4112000,2415000,208600000000,263280000000,244890000000,33987000000000,2209000,3032000,1203000000,1648195,2440,5894,850
Australia,17,26768598,11242811,9208398,294455,58910,33270,0,,348,24,71,37,107,31,6,72,22,46,17118,0,48,8,45,199898,0,2,6,3,7,0,13,3,57350000000,3770254730000,1635000000000,60404000000,2257,14912000,66,32606,873573,386000,1151000,2446000000,153783000000,50188000000,3228000000000,445077000,95667000,149472000000,7741220,25760,0,2000
Spain,18,47280433,21748999,17635602,330963,121802,24033,78470,,440,136,12,51,108,8,0,169,17,298,49324,96,188,0,175,249889,1,0,2,0,11,0,112,6,39000676350,2830012130000,2361000000000,107774000000,365,24386000,52,15489,150110,47000,1325000,150000000,41009000,32833000000,2549000000,1280000,7388000,1187000000,505370,4964,1953,1000
Egypt,19,111247248,45611372,38269053,1668709,438500,479000,300000,,1088,242,90,53,344,11,0,348,100,3620,54694,1056,962,648,149,235989,0,2,8,0,13,7,61,17,5193500000,117272000000,1958000000000,44921000000,73,33749000,31,5085,65050,667000,830000,3300000000,64817000000,60089000000,1784000000000,69000,3262000,182000000,1001450,2450,2612,3500
Ukraine,20,35661826,18187531,12731272,392280,900000,4000000,100000,,347,88,30,22,72,5,0,140,39,1121,45458,682,625,288,169,22266,0,0,0,0,0,0,133,5,45000000000,90003000000,577583000000,43781000000,152,20539000,26,21733,169694,3000,192000,395000000,18725000000,22856000000,1104000000000,19603000,25012000,34375000000,603550,2782,5581,1672
Poland,21,38746310,18985692,15576017,464956,250000,350000,50000,,457,58,12,44,112,11,0,224,29,798,57972,593,0,298,63,55530,0,0,1,0,2,2,3,29,55865141600,425641700000,1649000000000,223115000000,318,18245000,10,19461,427580,24000,743000,113000000,5551000000,20056000000,91492000000,96720000,99932000,27758000000,312685,440,2845,3997
Taiwan,22,23595274,12269542,1061787,306739,230000,1657000,55000,,720,258,0,19,215,18,0,239,91,1090,24067,488,1360,223,91,244050,0,0,4,4,21,7,36,10,31180000000,229900000000,1743000000000,541898500000,57,11842940,8,1613,43206,800,954000,2380000,63747000,21157000000,6230000000,5212000,64609000,1000000,35980,1566,0,0
Vietnam,23,105758975,54994667,45053323,1797903,450000,5000000,250000,,265,61,0,6,91,3,0,101,0,1999,69914,30,3250,774,116,102147,0,0,6,0,9,17,27,8,10200000000,34426000000,1456000000000,83082000000,36,57133000,16,2600,195468,187000,544000,4400000000,7676000000,7676000000,699426000000,51519000,96099000,3116000000,331210,3444,4616,47130
Thailand,24,69920998,36358919,27968399,1118736,360850,200000,25000,,496,73,26,52,134,25,0,258,7,744,52590,59,595,17,304,133523,0,1,0,0,7,5,254,5,6006660000,37065000000,1558000000000,236934000000,105,40623000,21,4127,180053,386000,1397000,252750000,30797000000,48898000000,138243000000,12812000,42371000,1063000000,513120,3219,5673,4000
Saudi Arabia,25,36544431,19003104,17468238,621255,247000,0,150000,,917,283,81,49,202,16,22,264,34,1085,22370,380,557,327,32,49727,0,0,0,0,7,9,9,3,63988055520,248171000000,2213000000000,463870000000,90,17168000,16,5410,221372,11174000,3524000,258600000000,121870000000,121870000000,9423000000000,0,66000,0,2149690,2640,4272,0
Sweden,26,10589835,4235934,3558185,105898,25600,34000,104400,,172,73,0,6,36,3,1,53,0,110,27576,24,0,0,279,39816,0,0,4,0,0,7,116,8,15900000000,1102693570000,668628000000,62569000000,206,5699000,92,10910,197964,11000,270000,0,0,889924000,0,1042000,3170000,5000000,450295,3218,2211,2052
Algeria,27,47022473,22570787,19185169,752360,130000,150000,150000,,620,111,42,63,90,10,4,300,74,1485,24920,224,483,188,111,83480,0,0,6,0,8,8,75,3,25000000000,4764000000,722912000000,83007000000,95,13294000,17,4020,112696,1443000,446000,12200000000,100726000000,47963000000,4504000000000,0,3000,233000000,2381740,998,6734,0
Canada,28,38794813,16681770,13500595,426743,63500,23000,5500,,354,66,0,29,95,34,6,146,0,74,21780,0,0,0,67,119637,0,0,4,0,12,0,17,0,45824959620,2571113270000,2341000000000,119778000000,1425,22868000,284,49422,1042300,5688000,2377000,170300000000,187686000000,130316000000,2067126000000,50687000,20092000,6582000000,9984670,202080,8893,636
Singapore,29,6028459,3918498,2628408,66313,51000,252500,12000,6081000,235,100,0,9,36,9,11,75,20,170,17244,48,89,24,101,93244,0,0,6,0,6,6,55,4,18000000000,1884751660000,800304000000,383946000000,9,3722000,5,0,3500,0,1514000,0,0,13724000000,0,0,1153000,0,719,193,0,0
Greece,30,10461091,4916713,3985676,104611,142700,221350,55000,,560,178,0,17,86,8,0,285,28,1344,56416,589,698,152,186,215808,0,0,9,0,14,0,45,3,8242150000,605000000000,192205000000,15222000000,82,4655000,57,2345,117000,5000,308000,10000000,3284000,5173000000,991090000,10469000,10091000,2876000000,131957,13676,1110,6
North Korea,31,26298666,9467520,5312331,420779,1320000,560000,100000,,837,341,114,1,176,0,0,205,20,4895,47792,1300,700,1500,332,143304,0,0,24,2,2,8,227,1,4750000000,6050000000,15416000000,5500000000,81,17637000,10,7435,25554,0,18000,0,0,0,0,21927000,22105000,10600000000,120538,2495,1607,2250
Argentina,32,46994384,20677529,17575900,704916,108000,12370,20000,,241,23,11,25,71,13,2,96,0,362,22432,20,172,27,42,122128,0,0,2,3,0,6,13,0,993919790,74362000000,1213000000000,29560000000,764,22286000,37,17866,240000,807000,749000,2483000000,43280000000,46228000000,396464000000,869000,2534000,799999000,2780400,4989,11968,11000
Nigeria,33,236747130,125475979,90437404,4261448,230000,0,50000,,159,14,24,12,28,12,0,69,15,330,12219,40,339,37,152,38052,0,0,0,0,1,0,132,2,3900000000,45009000000,1318000000000,38612000000,50,113350000,28,3798,195000,1541000,527000,36890000000,39951000000,20719000000,5761000000000,1322000,1326000,2144000000,923768,853,4477,8600
Netherlands,34,17772378,7997570,6486918,195496,44245,8510,5000,,130,0,38,4,21,0,0,67,16,18,6689,46,0,4,140,147606,0,0,3,0,6,0,76,3,31791150000,5257949730000,1276000000000,79129000000,44,10315000,18,3055,139027,70000,840000,137747000,17774000000,33243000000,132608000000,1761000,12796000,3247000000,41543,451,1053,6237
Myanmar,35,57527139,30489384,21975367,1035489,228000,19000,55000,,331,70,20,33,120,5,0,86,9,1040,11576,225,1680,1520,239,89240,0,0,3,0,6,3,146,2,2815031361,8748000000,287559000000,8590400000,74,22742000,7,5031,157000,7000,122000,139000000,16780000000,3788000000,637129000000,1031000,907000,252000000,676578,1930,6522,12800
Mexico,36,130739927,61447766,49811912,2222579,387000,98653,120000,,424,2,32,40,175,25,0,173,0,0,23548,35,0,0,164,,0,0,0,0,1,3,142,0,9100000000,306308000000,2883000000000,232035000000,1580,60959000,35,23389,704884,2101000,1741000,5786000000,31422000000,90566000000,180322000000,6296000,15132000,1160000000,1964375,9330,4389,2900
Bangladesh,37,168697184,82661620,66129296,3205246,204000,0,6800000,,212,41,0,17,83,4,0,67,0,320,11584,36,487,103,121,75280,0,0,2,0,7,6,61,5,3340000000,58020000000,1473000000000,21395000000,17,77355000,2,2460,369105,13000,263000,28000000,24620000000,30384000000,126293000000,767000,14050000,3260000000,148460,580,4413,8370
Portugal,38,10639726,5319863,4096295,127677,25000,23500,23300,,128,28,5,20,23,16,4,36,0,34,10419,23,54,0,128,42755,0,0,2,0,5,2,71,0,6760000000,530000000000,556942000000,55160000000,136,5332100,36,3622,136635,12932,200000,22440000,0,3700000000,72000000000,0,0,40000000,92090,1793,1224,764
Norway,39,5509733,2203893,1807192,71627,33440,20100,40500,,109,0,43,4,23,5,0,34,0,36,11441,28,0,0,48,66022,0,0,6,0,4,6,20,5,11189483200,787758400000,507680000000,81242000000,146,3042000,141,3848,95120,2020000,229000,8122200000,123727000000,4548000000,1544455000000,120000,1096000,2000000,323802,25148,2566,1577
South Africa,40,60442647,27803618,14989776,1027525,68731,29350,50000,,181,2,0,11,81,0,0,87,10,248,23024,52,434,201,63,43881,0,0,3,0,4,0,42,4,2877000000,93879000000,870420000000,65435000000,573,27766000,8,30400,750000,88000,609000,15000000,59128000,4487000000,0,239712000,176095000,9893000000,1219090,2798,5244,0
Philippines,41,118277063,50859137,41751803,2128987,160000,1500000,35000,,204,0,17,23,23,11,0,130,6,18,20551,12,296,0,127,84578,0,0,0,0,4,1,60,0,6571641011,63241000000,1202000000000,106195000000,256,50979000,70,77,216387,10000,457000,138500000,2251000000,2251000000,98543000000,14457000,42859000,361000000,300000,36289,0,3219
Malaysia,42,34564810,16245461,13480276,553037,113000,51600,100000,,132,25,11,15,31,6,4,45,0,48,15415,0,196,36,100,67735,0,0,2,0,2,4,72,4,5100000000,8748000000,1212000000000,116229000000,100,18264000,35,1851,144403,582000,672000,3600000000,75456000000,42499000000,1189000000000,4476000,35741000,226000000,329847,4675,2742,7200
Colombia,43,49588357,24298295,19190694,843002,429000,998000,150000,,430,16,24,82,72,27,1,255,0,0,12780,6,110,0,213,31090,0,0,4,0,9,2,158,0,15800000000,108027000000,978024000000,61898000000,661,26822000,14,2141,206102,800000,374000,2036000000,11290000000,11451000000,87782000000,52376000,9720000,4554000000,1138910,3208,6672,24725
Iraq,44,42083436,17675043,14308368,715418,193000,0,100000,,360,26,36,15,111,17,0,183,39,1188,37496,434,610,572,67,32565,0,0,0,0,0,1,55,0,8000000000,15580000000,585887000000,100691000000,73,12008000,6,2272,59623,4448000,1043000,145019000000,9860000000,19298000000,3729000000000,0,0,0,438317,58,3809,5279
Denmark,45,5973136,2628180,2126436,77651,21000,12000,51000,,122,26,19,4,36,3,0,34,0,44,5930,19,0,8,50,121180,0,0,0,0,9,0,9,6,14250000000,611050000000,440558000000,108405000000,102,3210000,69,2682,73591,63000,151000,441000000,1879000000,2208000000,29534000000,0,1135000,0,43094,7314,140,400
Switzerland,46,8860574,3898653,3163225,97466,147178,0,5000,,141,40,0,16,43,3,0,39,0,134,6885,133,0,0,0,,0,0,0,0,0,0,0,0,8372658426,2420000000000,741035000000,909366000000,66,5153000,0,5296,83131,300,194000,0,0,3138000000,0,0,126000,0,41277,0,1770,1292
Ethiopia,47,118550298,56904143,35327989,2726657,503000,138000,0,,104,25,0,9,34,0,0,33,7,338,8586,142,469,79,0,,0,0,0,0,0,0,0,0,3720968976,25426000000,380895000000,3784000000,58,54470000,0,659,180000,0,102000,428000,0,0,24919000000,456000,1653000,0,1104300,0,5925,0
Finland,48,5626414,2306830,1912981,56264,24000,870000,53800,,162,53,0,11,77,1,0,27,0,200,14866,125,667,76,165,19434,0,0,0,0,0,0,8,18,8890000000,726000000000,313591000000,17993000000,98,2898000,37,5918,108637,8000,175000,0,0,1157000000,0,811000,3933000,0,338145,1250,2563,8000
Chile,49,18664652,8959033,7521855,298634,80000,40000,50000,,274,45,0,33,92,18,5,86,0,386,7480,48,249,9,130,176065,0,0,4,0,8,0,40,0,6800000000,235950000000,596556000000,44403000000,379,10088000,39,7282,77801,11000,404000,150000000,1200000000,6916000000,97976000000,474000,8087000,1181000000,756102,6435,7801,12290
Peru,50,32600249,15648120,12681497,619405,120000,386000,60000,,252,15,22,39,68,12,0,112,16,355,9168,12,290,61,78,171629,0,0,6,0,7,8,13,0,2552000000,38102000000,535911000000,79246000000,174,18918000,20,1855,70000,118000,255000,858890000,12270000000,7185000000,300159000000,1382000,973000,1567000000,1285216,2414,7062,8808
Venezuela,51,31250306,15625153,12812625,625006,109000,8000,220000,,224,30,0,47,75,3,1,85,10,282,15168,60,92,56,41,,0,0,3,0,1,0,26,0,6060000000,121363000000,110943000000,9944750000,509,11136000,31,447,96189,801000,203000,303806000000,17696000000,17696000000,5674000000000,149000,80000,730999000,912050,2800,5267,7100
Romania,52,18148155,9437041,7731114,199630,90000,55000,15000,,148,29,0,13,44,2,0,66,0,451,13266,0,720,243,18,,0,0,0,0,3,7,0,7,10230630000,145200000000,774376000000,73391000000,103,8263000,11,10628,85387,67000,220000,600000000,9501000000,10055000000,105480000000,14752000,15533000,291000000,238391,225,2844,1731
Uzbekistan,53,36520593,18990708,15959499,730412,120000,0,20000,,159,26,13,12,7,0,0,101,34,470,8692,177,236,108,0,,0,0,0,0,0,0,0,0,6210000000,25714000000,379989000000,41237000000,74,13974000,0,4642,225500,64000,111000,594000000,47500000000,43227000000,1841000000000,6379000,8941000,1375000000,447400,420,6893,1100
United Arab Emirates,54,10032213,5818684,4945881,80258,65000,130000,12000,,581,99,40,35,151,27,5,250,30,354,8982,165,99,49,84,20210,0,0,0,0,0,11,34,2,23480000000,290400000000,745994000000,237931000000,42,7090000,20,0,4080,4146000,846000,97800000000,56683000000,66091000000,6091000000,0,5411000,0,83600,1318,1066,0
Czechia,55,10837890,5093808,4129236,97541,30334,4900,0,,103,12,16,10,21,2,0,42,4,20,6275,53,0,16,0,,0,0,0,0,0,0,0,0,9174000000,232320000000,521928000000,146281000000,252,5541000,0,9548,129418,4000,219000,15000000,224725000,7602000000,3964000000,31946000,33239000,3595000000,78867,0,2046,664
Morocco,56,37387585,17946041,15254135,635589,400000,250000,50000,,271,84,0,31,77,4,2,73,6,1346,17594,544,188,185,100,,0,0,0,0,6,1,84,0,16100000000,42262000000,350594000000,37134000000,48,12475000,12,2067,57300,25,296000,684000,82595000,243201000,1444000000,0,10304000,96000000,715550,1835,2363,0
Hungary,57,9855745,4632200,3794462,118269,41600,20000,15000,,80,12,0,3,17,0,0,50,8,220,11502,24,295,0,0,,0,0,0,0,0,0,0,0,5887250000,151250000000,389207000000,46422000000,109,4954000,0,7687,203601,36000,179000,12100000,1523000000,9485000000,3738000000,4293000,4694000,2633000000,103000,0,2106,1622
Kazakhstan,58,20260006,9117003,6928922,283640,110000,135000,55000,,168,37,13,21,25,0,0,72,12,353,17460,126,194,287,26,,0,0,0,0,0,0,23,2,5836386000,25765000000,739385000000,45808000000,132,10285000,0,16636,96167,1955000,386000,30000000000,27011000000,22623000000,2407000000000,120279000,86349000,25605000000,2724900,26,13364,43983
Angola,59,37202061,7440412,3720206,372021,107000,0,10000,,278,67,6,32,56,2,0,115,14,319,2258,25,575,116,32,,0,0,0,0,0,0,32,0,31200000000,45299000000,278239000000,14243000000,107,15961000,21,2761,76000,1175000,121000,7783000000,5514000000,1397000000,343002000000,0,0,0,1246700,1600,5369,1300
Azerbaijan,60,10650239,5218617,3908638,159754,128000,306000,15000,,159,12,20,4,36,0,0,87,16,1354,14448,135,651,696,32,,0,0,4,0,0,0,17,4,5100000000,12378000000,225198000000,12699000000,32,5020000,0,2944,24981,618000,109000,7000000000,34175000000,11759000000,1699000000000,0,6000,0,86600,713,2468,0
Belgium,61,11977634,4910830,3880753,119776,26390,6600,0,,104,44,12,7,27,0,0,14,0,0,3588,0,0,0,9,10190,0,0,0,0,2,0,2,5,14900000000,1594190730000,749229000000,41449000000,48,5416000,7,3602,118414,11000,596000,0,13436000,15347000000,0,1269000,4372000,4100000000,30528,67,1297,2043
Bulgaria,62,6782659,3187850,2611324,61044,36950,3000,0,,71,11,5,6,26,0,0,23,4,334,6724,48,24,24,45,,0,0,0,0,6,3,0,17,2485350000,14277000000,219645000000,43698000000,107,3124000,2,4029,19512,4000,101000,15000000,20837000,2801000000,5663000000,20970000,20557000,2174000000,110880,354,1806,470
Serbia,63,6652212,3259584,2574406,79827,22500,2000,600000,,115,11,17,3,33,0,0,51,4,242,7190,96,150,73,30,,0,0,0,0,0,0,18,4,2770000000,21726000000,177093000000,30484000000,46,3230000,0,3333,45022,13000,88000,77500000,353376000,2939000000,48139000000,33219000,37828000,7112000000,77474,0,2322,587
Democratic Republic of the Congo,64,115403027,39237029,31389623,2538867,166580,30800,10000,,56,0,6,10,2,0,0,38,9,212,7164,16,125,81,16,,0,0,0,0,0,0,16,0,960000000,7926000000,164367000000,3898125000,273,38546000,3,4007,152373,19000,35000,180000000,380000,380000,991090000,0,304000,987999000,2344858,37,10481,15000
Cuba,65,10966038,5921661,4737328,142558,50000,40000,1145000,,20,11,0,4,3,0,0,13,4,194,7792,140,364,200,19,,0,0,0,0,1,1,6,4,3301500000,36372600000,81165000000,10442000000,120,489000,34,8367,60000,34000,118000,124000000,659434000,659434000,70792000000,0,1000,0,110860,3735,29,240
Sudan,66,50467278,26747657,17108407,1312149,300000,200000,17500,,183,37,36,13,33,0,0,64,35,1055,8890,100,1150,800,10,,0,0,0,0,0,0,10,0,394700000,21650000000,94420000000,192348850,45,10949000,4,7251,31000,68000,129000,1250000000,0,0,84951000000,0,0,0,1861484,853,6819,4068
Austria,67,8967982,4035592,3632033,98648,25000,125600,0,,90,15,0,11,23,0,0,41,0,56,5160,30,0,0,0,,0,0,0,0,0,0,0,0,6103900800,693000000000,581131000000,35406000000,62,4768000,0,6123,126233,18000,244000,35200000,618209000,8136000000,5040000000,1288000,5403000,0,83871,0,2524,358
Sri Lanka,68,21982608,10551652,8551235,307757,346000,90000,0,,90,6,0,15,7,3,0,49,8,87,15021,0,96,28,275,32636,0,0,0,0,5,0,259,0,1500000000,42198000000,301407000000,6094000000,18,8499000,6,1562,114093,0,100000,0,0,0,0,0,2323000,0,65610,1340,0,160
Slovakia,69,5563649,2837461,2353424,61200,20982,0,0,,48,7,0,7,11,1,0,22,0,45,6636,35,9,25,0,,0,0,0,0,0,0,0,0,2900000000,140360000000,218762000000,14452000000,116,2779000,0,3627,45106,7000,90000,9000000,52556000,60424000,14158000000,2315000,6066000,19000000,49035,0,1587,172
Belarus,70,9501451,5035769,3724569,104516,63000,365400,55000,,194,43,50,4,27,0,0,70,31,577,6820,357,190,206,0,,0,0,0,0,0,0,0,0,1034784000,18010000000,265220000000,8912000000,46,4817000,0,5528,86600,30000,125000,198000000,73929000,16683000000,2832000000,0,710000,0,207600,0,3599,2500
Qatar,71,2552088,638022,490001,12760,26550,4000,5500,,263,115,6,12,45,0,0,85,24,62,5576,46,12,16,125,,0,0,0,0,0,4,107,0,11950000000,205700000000,317064000000,53987000000,8,2123000,6,0,7039,1818000,268000,25244000,169595000000,41515000000,23861000000000,0,0,0,11586,563,87,0
Ecuador,72,18309984,8422593,6738074,329580,41250,118000,1500,,99,0,0,20,34,8,0,43,0,202,5322,5,106,24,30,,0,0,2,0,2,6,5,0,2963400000,39658000000,252728000000,6908000000,317,8821000,6,965,43950,480000,272000,8273000000,309778000,309778000,10902000000,0,14000,24000000,283560,2237,2237,1500
Croatia,73,4150116,2033557,1564594,53952,14325,20100,2000,,67,12,0,0,26,0,0,37,0,55,4874,25,42,42,30,,0,0,0,0,0,0,11,1,2744000000,60500000000,164825000000,3336000000,45,1733000,16,2617,26958,11000,70000,71000000,741456000,2502000000,24919000000,0,596000,0,56594,5835,2237,4714
Jordan,74,11174024,3463947,2983464,145262,114500,100000,35000,,279,44,10,12,66,11,0,159,44,1508,25278,478,80,84,27,,0,0,0,0,0,0,27,0,2668500000,21058000000,109986000000,21939000000,18,3080000,1,509,7203,20,97000,1000000,187262000,4382000000,6031000000,0,269000,0,89342,26,1744,0
Bahrain,75,1566888,846120,720768,17236,18400,110000,1500,,137,28,0,3,40,0,0,66,34,150,5196,38,26,18,64,,0,0,0,0,2,2,50,0,997015509,54450000000,93937000000,4949000000,3,913300,4,0,4122,190000,72000,186500000,18005000000,17924000000,81382000000,0,0,0,760,161,0,0
Kuwait,76,3138355,1726095,1449920,37660,78000,24000,7500,3239000,133,47,0,2,13,0,3,68,16,367,7472,51,0,27,123,,0,0,0,0,0,0,106,0,7987000000,60500000000,225947000000,50728000000,6,3003000,6,0,5749,2910000,430000,101500000000,19285000000,26083000000,1784000000000,0,60000,0,17818,499,475,0
Albania,77,3107100,1522479,1292554,62142,7500,0,500,,20,0,0,1,0,0,0,19,0,0,1492,10,0,270,33,,0,0,0,0,0,0,33,0,720037190,5363000000,51360000000,6516000000,3,1370000,3,424,3581,14000,21000,150000000,50623000,50623000,5692000000,473000,255000,522000000,28748,362,691,41
Turkmenistan,78,5744151,2768681,2245963,109139,36500,0,3500,,91,22,27,5,11,0,0,26,10,654,11588,73,457,164,16,,0,0,0,0,0,0,16,0,1463000000,3696000000,134555000000,21073860000,23,2445000,0,5113,58592,272000,152000,600000000,86472000000,41561000000,11327000000000,0,0,799999000,488100,1768,4158,1300
Tunisia,79,12048847,6024424,5181004,204830,89800,0,12000,,155,10,0,12,28,4,0,101,0,145,13927,0,105,0,37,,0,0,0,0,1,1,30,0,2172751250,21212000000,156086000000,9344000000,14,4247000,16,2173,32332,35000,104000,425000000,1323000000,5153000000,65129000000,0,2000,0,163610,1148,1495,0
