Country,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,external_debt_usd,foreign_exchange_and_gold_reserves_usd,labour_force,total_merchant_marine_fleet,major_ports_and_terminals,roadway_coverage_km,railway_coverage_km,total_serviceable_airports,waterway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,NATO,alliance,region_africa,region_asia,region_europe,region_middle_east,region_north_america,region_south_america,capital_city
Gabon,2455105.0,932940.0,532758.0,46647.0,4800.0,0.0,2500.0,24.0,6.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,424.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,274820000.0,48201000000.0,6280000000.0,1568196000.0,763000.0,87.0,9.0,14300.0,649.0,40.0,1600.0,204000.0,16000.0,2000000000.0,463000000.0,463000000.0,25995000000.0,0.0,0.0,0.0,267667.0,885.0,3261.0,,,3.1805,,,,,,Libreville
Georgia,4900961.0,2744538.0,2225036.0,93118.0,55000.0,152500.0,0.0,61.0,0.0,5.0,2.0,10.0,0.0,0.0,44.0,11.0,123.0,3392.0,67.0,121.0,42.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,495629055.0,83656000000.0,13488000000.0,5002000000.0,1853000.0,26.0,3.0,20295.0,1363.0,19.0,0.0,300.0,32000.0,35000000.0,8760000.0,2796000000.0,8495000000.0,256000.0,516000.0,900999000.0,69700.0,310.0,1814.0,,,,2.0695,,,,,Tbilisi
Germany,84119100.0,38694786.0,30955829.0,841191.0,181600.0,34000.0,0.0,584.0,129.0,63.0,50.0,35.0,26.0,3.0,309.0,54.0,296.0,83260.0,134.0,0.0,33.0,61.0,0.0,0.0,6.0,0.0,11.0,5.0,0.0,12.0,50000000000.0,5230000000000.0,6238609300000.0,322700000000.0,44784000.0,595.0,35.0,830000.0,39379.0,838.0,7300.0,131000.0,2052000.0,115200000.0,4824000000.0,77516000000.0,23390000000.0,138981000.0,186725000.0,35900000000.0,357022.0,2389.0,3694.0,0.2601,0.2601,,,0.2601,,,,Berlin
Ghana,34589092.0,14873310.0,9961658.0,622604.0,15500.0,0.0,0.0,19.0,0.0,0.0,2.0,5.0,2.0,0.0,10.0,0.0,0.0,1824.0,0.0,6.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,308500000.0,229639000000.0,22550000000.0,3624000000.0,14887000.0,52.0,4.0,65725.0,947.0,11.0,1293.0,174000.0,110000.0,660000000.0,3192000000.0,3912000000.0,22653000000.0,0.0,85000.0,0.0,238533.0,539.0,2420.0,,,2.3775,,,,,,Accra
Greece,10461091.0,4916713.0,3985676.0,104611.0,142700.0,221350.0,55000.0,558.0,178.0,0.0,15.0,81.0,8.0,0.0,293.0,29.0,1344.0,61888.0,589.0,698.0,152.0,192.0,0.0,0.0,10.0,0.0,13.0,0.0,39.0,7.0,6500000000.0,375780000000.0,550000000000.0,13608000000.0,4645000.0,1215.0,57.0,117000.0,2345.0,81.0,6.0,5000.0,303000.0,10000000.0,3284000.0,5173000000.0,991090000.0,13703000.0,13988000.0,2876000000.0,131957.0,13676.0,1110.0,0.5337,0.5337,,,0.5337,,,,Athenai
Guatemala,18255216.0,7484639.0,6279794.0,182552.0,106114.0,90000.0,35000.0,36.0,0.0,4.0,10.0,0.0,0.0,0.0,21.0,0.0,5.0,688.0,0.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,408635000.0,223183000000.0,27500000000.0,21311000000.0,7258000.0,9.0,3.0,17440.0,800.0,58.0,990.0,6000.0,115000.0,86110000.0,3276000.0,2986000.0,0.0,0.0,1296000.0,0.0,108889.0,400.0,1667.0,,,,,,,,,Ciudad de Guatemala
Honduras,9529188.0,4192843.0,3144632.0,95292.0,52225.0,60000.0,23000.0,40.0,4.0,7.0,10.0,10.0,1.0,0.0,8.0,0.0,11.0,614.0,0.0,32.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,413635000.0,68854000000.0,8805500000.0,7543000000.0,4676000.0,489.0,8.0,14742.0,699.0,129.0,465.0,20.0,67000.0,0.0,0.0,0.0,0.0,0.0,190000.0,0.0,112090.0,832.0,1575.0,,,,,,,,,Tegucigalpa
Hungary,9855745.0,4632200.0,3794462.0,118269.0,41600.0,20000.0,15000.0,69.0,12.0,0.0,3.0,12.0,0.0,0.0,44.0,8.0,209.0,7797.0,24.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4576000000.0,388906000000.0,137500000000.0,45719000000.0,5006000.0,1.0,0.0,203601.0,7687.0,109.0,1622.0,36000.0,175000.0,12100000.0,1523000000.0,9485000000.0,3738000000.0,5450000.0,6180000.0,2909000000.0,103000.0,0.0,2106.0,1.0259,1.0259,,,1.0259,,,,Budapest
Iceland,364036.0,83728.0,50237.0,1820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312400000.0,26155000000.0,22000000000.0,5809000000.0,239000.0,39.0,43.0,12898.0,0.0,83.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,188000.0,0.0,100250.0,4970.0,0.0,3.5181,,,,3.5181,,,,Reykjavík
India,1409128296.0,662290299.0,522786598.0,23955181.0,1455550.0,1155000.0,2527000.0,2229.0,513.0,130.0,270.0,351.0,74.0,6.0,899.0,80.0,4201.0,148594.0,100.0,3975.0,264.0,293.0,2.0,0.0,18.0,13.0,14.0,18.0,135.0,0.0,75000000000.0,13104000000000.0,371020500000.0,627793000000.0,593729000.0,1859.0,56.0,6371847.0,65554.0,311.0,14500.0,795000.0,5049000.0,4605000000.0,33170000000.0,58867000000.0,1381000000000.0,985671000.0,1200000000.0,111052000000.0,3287263.0,7000.0,13888.0,,,,0.1184,,,,,New Delhi
Indonesia,281562465.0,137965608.0,114595923.0,4786562.0,400000.0,400000.0,250000.0,459.0,41.0,34.0,70.0,112.0,17.0,1.0,214.0,15.0,331.0,20440.0,153.0,396.0,63.0,331.0,0.0,0.0,4.0,0.0,7.0,25.0,211.0,12.0,10600000000.0,3906000000000.0,440000000000.0,146359000000.0,140931000.0,11422.0,123.0,496607.0,8159.0,513.0,21579.0,865000.0,1728000.0,2480000000.0,57410000000.0,36061000000.0,1408000000000.0,659357000.0,202283000.0,34869000000.0,1904569.0,54716.0,2958.0,,,,0.2557,,,,,Jakarta
Iran,88386937.0,49496685.0,41541860.0,1414191.0,610000.0,350000.0,220000.0,551.0,188.0,21.0,87.0,103.0,10.0,6.0,128.0,13.0,1713.0,65825.0,392.0,2070.0,1517.0,107.0,0.0,0.0,25.0,0.0,7.0,3.0,21.0,1.0,15450000000.0,1440000000000.0,4134926000.0,120600000000.0,29159000.0,965.0,18.0,223485.0,8484.0,173.0,850.0,3985000.0,2136000.0,208600000000.0,263280000000.0,244890000000.0,33987000000000.0,2791000.0,3531000.0,1203000000.0,1648195.0,2440.0,5894.0,,,,0.3048,,0.3048,,,Tehran
Iraq,42083436.0,17675043.0,14308368.0,715418.0,193000.0,0.0,100000.0,391.0,26.0,36.0,15.0,139.0,17.0,0.0,197.0,39.0,1025.0,37288.0,434.0,610.0,572.0,68.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,7923000000.0,572939000000.0,45032500000.0,112233000000.0,11812000.0,74.0,6.0,59623.0,2272.0,71.0,5279.0,4437000.0,918000.0,145019000000.0,9860000000.0,19298000000.0,3729000000000.0,0.0,0.0,0.0,438317.0,58.0,3809.0,,,,0.7738,,0.7738,,,Baghdad
Ireland,5233461.0,2407392.0,1999182.0,57568.0,7765.0,1700.0,0.0,22.0,0.0,0.0,4.0,8.0,2.0,0.0,8.0,0.0,0.0,1712.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1500000000.0,608463000000.0,3300000000000.0,12905000000.0,2766000.0,94.0,21.0,99830.0,1688.0,100.0,956.0,600.0,156000.0,0.0,1447000000.0,5280000000.0,9911000000.0,0.0,1322000.0,40000000.0,70273.0,1448.0,443.0,,2.1103,,,2.1103,,,,Dublin
Israel,9402617.0,3949099.0,3281513.0,131637.0,170000.0,465000.0,35000.0,611.0,240.0,38.0,13.0,159.0,19.0,14.0,147.0,48.0,1300.0,35985.0,352.0,171.0,183.0,62.0,0.0,0.0,5.0,0.0,0.0,7.0,46.0,0.0,30500000000.0,471030000000.0,148500000000.0,204661000000.0,4554000.0,41.0,5.0,20391.0,1497.0,37.0,0.0,15000.0,230000.0,12730000.0,22886000000.0,11510000000.0,176018000000.0,0.0,6476000.0,0.0,21937.0,273.0,1068.0,,,,0.2661,,0.2661,,,Jerusalem
Italy,60964931.0,27434219.0,22191235.0,548684.0,165500.0,18500.0,105000.0,729.0,89.0,67.0,30.0,162.0,23.0,8.0,392.0,37.0,200.0,73480.0,64.0,108.0,21.0,196.0,2.0,0.0,8.0,3.0,10.0,0.0,19.0,10.0,30890000000.0,3097000000000.0,2750000000000.0,247396000000.0,25669000.0,1276.0,123.0,487700.0,18475.0,636.0,2400.0,116000.0,1246000.0,497934000.0,3117000000.0,68735000000.0,45750000000.0,1618000.0,13127000.0,609999000.0,301340.0,7600.0,1836.0,0.2164,0.2164,,,0.2164,,,,Roma
Ivory Coast,29981758.0,12292521.0,7855221.0,569653.0,22000.0,0.0,5500.0,19.0,0.0,0.0,4.0,2.0,3.0,0.0,10.0,3.0,5.0,656.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,669600935.0,202758000000.0,19311500000.0,7583484000.0,10954000.0,25.0,5.0,81996.0,660.0,29.0,980.0,29000.0,60000.0,100000000.0,2635000000.0,2635000000.0,28317000000.0,0.0,0.0,0.0,322463.0,515.0,3458.0,,,2.1796,,,,,,Yamoussoukro
Japan,123201945.0,52976836.0,42874277.0,1108818.0,247150.0,56000.0,25000.0,1443.0,217.0,38.0,55.0,401.0,141.0,10.0,596.0,119.0,521.0,31964.0,149.0,480.0,54.0,159.0,0.0,4.0,24.0,42.0,6.0,0.0,6.0,22.0,57000000000.0,5761000000000.0,4679698100000.0,1295000000000.0,69349000.0,5229.0,163.0,1218772.0,27311.0,279.0,1770.0,8000.0,3289000.0,44115000.0,2220000000.0,92843000000.0,20898000000.0,29141000.0,216332000.0,350000000.0,377915.0,29751.0,0.0,,,,0.1839,,,,,Tokyo
Jordan,11174024.0,3463947.0,2983464.0,145262.0,100500.0,65000.0,35000.0,274.0,44.0,6.0,13.0,66.0,13.0,0.0,155.0,44.0,1458.0,16624.0,358.0,80.0,56.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2500000000.0,106806000000.0,25646500000.0,15715600000.0,3063000.0,34.0,1.0,7203.0,509.0,17.0,0.0,20.0,97000.0,1000000.0,187262000.0,4382000000.0,6031000000.0,0.0,479000.0,0.0,89342.0,26.0,1744.0,,,,1.6139,,1.6139,,,Amman
Kazakhstan,20260006.0,9117003.0,6928922.0,283640.0,110000.0,135000.0,55000.0,198.0,63.0,25.0,19.0,26.0,0.0,0.0,65.0,12.0,350.0,7736.0,126.0,194.0,287.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,2048700000.0,705520000000.0,91321500000.0,35965000000.0,9587000.0,122.0,0.0,96167.0,16636.0,132.0,43983.0,1955000.0,288000.0,30000000000.0,27011000000.0,22623000000.0,2407000000000.0,118195000.0,84852000.0,25605000000.0,2724900.0,26.0,13364.0,,,,1.1016,,,,,Astana
Kenya,58246378.0,21551160.0,14037377.0,931942.0,50000.0,0.0,25000.0,156.0,17.0,0.0,21.0,31.0,2.0,0.0,85.0,2.0,188.0,4128.0,18.0,53.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1307383850.0,314063000000.0,30514500000.0,7342000000.0,25502000.0,26.0,4.0,161452.0,3819.0,370.0,0.0,0.0,119000.0,0.0,0.0,0.0,0.0,0.0,1168000.0,0.0,580367.0,536.0,3457.0,,,1.8135,,,,,,Nairobi
Kosovo,1977093.0,917371.0,743387.0,17794.0,10000.0,5000.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260715150.0,23794000000.0,2750000000.0,1245000000.0,500300.0,0.0,0.0,2012.0,437.0,4.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,9074000.0,8927000.0,1564000000.0,10887.0,0.0,714.0,,,,,4.9141,,,,
Kuwait,3138355.0,1726095.0,1449920.0,37660.0,72000.0,24000.0,7500.0,128.0,43.0,0.0,2.0,13.0,0.0,3.0,67.0,16.0,367.0,5636.0,74.0,0.0,27.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,6950000000.0,219060000000.0,55000000000.0,52619000000.0,2463000.0,176.0,6.0,5749.0,0.0,6.0,0.0,2910000.0,372000.0,101500000000.0,19285000000.0,26083000000.0,1784000000000.0,0.0,145000.0,0.0,17818.0,499.0,475.0,,,,1.6982,,1.6982,,,Kuwait
Kyrgyzstan,6172101.0,3147772.0,2487357.0,117270.0,23000.0,300000.0,55000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,215.0,2686.0,30.0,169.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221800000.0,45461000000.0,6728500000.0,3237000000.0,3069000.0,0.0,0.0,34000.0,424.0,28.0,576.0,6000.0,31000.0,40000000.0,31026000.0,438000000.0,5663000000.0,3637000.0,3352000.0,28499000000.0,199951.0,0.0,4573.0,,,,2.2543,,,,,Bishkek
Laos,7953556.0,3499565.0,2521277.0,159071.0,100000.0,30000.0,120000.0,33.0,0.0,0.0,2.0,8.0,0.0,0.0,23.0,0.0,160.0,4380.0,40.0,87.0,64.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,135000000.0,64173000000.0,16500000000.0,1770000000.0,3174000.0,1.0,0.0,39568.0,422.0,18.0,4600.0,0.0,24000.0,0.0,0.0,0.0,0.0,14845000.0,13691000.0,62000000.0,236800.0,0.0,5274.0,,,,2.2663,,,,,Vientiane
Latvia,1801246.0,810561.0,648449.0,16211.0,17250.0,36000.0,12500.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1848.0,47.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,1138000000.0,71154000000.0,44180400000.0,4957000000.0,978000.0,83.0,5.0,70244.0,2216.0,56.0,300.0,2000.0,35000.0,0.0,0.0,828214000.0,0.0,0.0,20000.0,0.0,64589.0,498.0,1370.0,2.1246,2.1246,,,2.1246,,,,Riga
Lebanon,5364482.0,2092148.0,1775644.0,69738.0,60000.0,35000.0,65000.0,80.0,0.0,9.0,0.0,9.0,0.0,0.0,68.0,0.0,116.0,4538.0,12.0,353.0,11.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,768250325.0,65818000000.0,36928000000.0,26498095000.0,1771000.0,51.0,5.0,21705.0,401.0,8.0,0.0,0.0,174000.0,0.0,0.0,0.0,0.0,0.0,207000.0,0.0,10400.0,225.0,484.0,,,,2.5981,,2.5981,,,Beirut
Liberia,5437249.0,2392390.0,1913912.0,65247.0,1500.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,364800000.0,8884000000.0,830923000.0,599660000.0,2499000.0,4821.0,4.0,10600.0,429.0,99.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111369.0,579.0,1667.0,,,3.7781,,,,,,Monrovia
Libya,7361263.0,3827857.0,3290485.0,125141.0,32000.0,0.0,100000.0,143.0,10.0,1.0,6.0,38.0,0.0,0.0,16.0,4.0,43.0,1816.0,15.0,28.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3060000000.0,121951000000.0,3322000000.0,92427000000.0,2398000.0,96.0,14.0,37000.0,2000.0,66.0,0.0,1245000.0,230000.0,48363000000.0,11832000000.0,9212000000.0,1505000000000.0,0.0,0.0,0.0,1759540.0,1770.0,4339.0,,,1.4449,,,,,,Tripoli
Lithuania,2628186.0,1708321.0,1332490.0,36795.0,23000.0,104000.0,14150.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1263.0,21.0,54.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2388900000.0,132712000000.0,44000000000.0,6168000000.0,1510000.0,59.0,2.0,84166.0,1911.0,65.0,441.0,4000.0,68000.0,12000000.0,0.0,1601000000.0,0.0,0.0,263000.0,0.0,65300.0,90.0,1545.0,1.9075,1.9075,,,1.9075,,,,Vilnius
Luxembourg,671254.0,154388.0,92633.0,3356.0,1000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726092925.0,88533000000.0,4730000000000.0,2977000000.0,352000.0,147.0,0.0,2875.0,271.0,3.0,37.0,0.0,51000.0,0.0,0.0,594240000.0,0.0,0.0,62000.0,0.0,2586.0,0.0,327.0,2.6415,2.6415,,,2.6415,,,,Luxembourg [Luxemburg/L
Madagascar,29452714.0,11192031.0,7952233.0,559602.0,13500.0,0.0,8100.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,158.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,112210000.0,51255000000.0,3028500000.0,2632000000.0,15830000.0,29.0,13.0,31640.0,836.0,91.0,600.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,511000.0,150000000.0,587040.0,4828.0,0.0,,,3.0609,,,,,,Antananarivo
Malaysia,34564810.0,16245461.0,13480276.0,553037.0,113000.0,51600.0,100000.0,135.0,26.0,12.0,16.0,31.0,6.0,4.0,45.0,0.0,48.0,13506.0,0.0,196.0,36.0,100.0,0.0,0.0,2.0,0.0,2.0,6.0,71.0,4.0,4800000000.0,1152000000000.0,247500000000.0,113438000000.0,17308000.0,1750.0,35.0,144403.0,1851.0,102.0,7200.0,582000.0,717000.0,3600000000.0,75456000000.0,42499000000.0,1189000000000.0,3731000.0,35050000.0,226000000.0,329847.0,4675.0,2742.0,,,,0.7429,,,,,Kuala Lumpur
Mali,21990607.0,6817088.0,4288168.0,351850.0,40000.0,0.0,4800.0,43.0,9.0,12.0,7.0,4.0,1.0,0.0,10.0,8.0,10.0,570.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650386000.0,57235000000.0,4057500000.0,647800000.0,8277000.0,0.0,0.0,139107.0,593.0,30.0,1800.0,0.0,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240192.0,0.0,7908.0,,,2.2379,,,,,,Bamako
Mauritania,4328040.0,1687936.0,1181555.0,82233.0,31540.0,66000.0,5000.0,24.0,0.0,4.0,7.0,7.0,2.0,0.0,4.0,0.0,25.0,628.0,0.0,75.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,261250000.0,30395000000.0,3661000000.0,2629290500.0,1179000.0,11.0,2.0,12253.0,728.0,25.0,1086.0,0.0,29000.0,20000000.0,0.0,0.0,28317000000.0,0.0,0.0,0.0,1030700.0,754.0,5002.0,,,2.7977,,,,,,Nouakchott
Mexico,130739927.0,61447766.0,49811912.0,2222579.0,412000.0,98655.0,120000.0,433.0,3.0,33.0,41.0,176.0,25.0,0.0,178.0,0.0,0.0,19658.0,20.0,70.0,0.0,167.0,0.0,0.0,0.0,5.0,1.0,3.0,140.0,0.0,7600000000.0,2873000000000.0,371359000000.0,214317000000.0,60042000.0,674.0,35.0,704884.0,23389.0,1485.0,2900.0,2101000.0,1737000.0,5786000000.0,31422000000.0,90566000000.0,180322000000.0,7453000.0,18423000.0,1211000000.0,1964375.0,9330.0,4389.0,,,,,,,0.5965,,Ciudad de M
Moldova,3599528.0,2159717.0,1792565.0,71991.0,8500.0,67000.0,2000.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,500.0,9.0,67.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1710000000.0,38969000000.0,4565500000.0,5453000000.0,1464000.0,75.0,0.0,9352.0,1171.0,11.0,558.0,0.0,22000.0,0.0,10000.0,2344000000.0,0.0,0.0,120000.0,0.0,33851.0,0.0,1885.0,,,,,3.2555,,,,Chisinau
Mongolia,3281676.0,1870555.0,1552233.0,62352.0,35000.0,135000.0,50000.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,420.0,2560.0,0.0,500.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165110000.0,56264000000.0,19542500000.0,4782000000.0,1403000.0,318.0,0.0,113200.0,1815.0,35.0,580.0,15000.0,36000.0,0.0,0.0,0.0,0.0,28276000.0,6393000.0,2520000000.0,1564116.0,0.0,8082.0,,,,2.1135,,,,,Ulan Bator
Montenegro,599849.0,143964.0,85179.0,3599.0,2350.0,0.0,5500.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,471.0,0.0,12.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,148100000.0,17115000000.0,2958500000.0,1574000000.0,286000.0,18.0,4.0,7762.0,250.0,5.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1734000.0,1517000.0,337000000.0,13812.0,294.0,680.0,2.9216,,,,2.9216,,,,Podgorica
Morocco,37387585.0,17946041.0,15254135.0,635589.0,195800.0,150000.0,50000.0,260.0,83.0,0.0,31.0,75.0,4.0,2.0,78.0,0.0,903.0,7877.0,396.0,153.0,129.0,111.0,0.0,0.0,0.0,0.0,6.0,1.0,105.0,0.0,13400000000.0,337480000000.0,45645000000.0,36328000000.0,12284000.0,94.0,12.0,57300.0,2067.0,49.0,0.0,25.0,318000.0,684000.0,82595000.0,243201000.0,1444000000.0,0.0,11940000.0,96000000.0,715550.0,1835.0,2363.0,,,1.1273,,,,,,Rabat
Mozambique,33350954.0,14674420.0,7770772.0,533615.0,11200.0,0.0,3000.0,22.0,8.0,0.0,4.0,1.0,1.0,0.0,8.0,2.0,30.0,872.0,0.0,52.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,412400000.0,50631000000.0,12100000000.0,3515000000.0,15191000.0,36.0,11.0,31083.0,4787.0,92.0,460.0,0.0,40000.0,0.0,5388000000.0,1347000000.0,2832000000000.0,9015000.0,11000.0,1792000000.0,799380.0,2470.0,4783.0,,,1.9265,,,,,,Maputo
Myanmar,57527139.0,30489384.0,21975367.0,1035489.0,150000.0,20000.0,55000.0,317.0,58.0,26.0,30.0,119.0,5.0,0.0,83.0,9.0,445.0,5980.0,95.0,210.0,180.0,232.0,0.0,0.0,3.0,0.0,6.0,3.0,146.0,2.0,2948000000.0,290507000000.0,7253400000.0,8590400000.0,22884000.0,101.0,7.0,157000.0,5031.0,73.0,12800.0,7000.0,148000.0,139000000.0,16780000000.0,3788000000.0,637129000000.0,1268000.0,1453000.0,252000000.0,676578.0,1930.0,6522.0,,,,0.6735,,,,,Rangoon (Yangon)
Namibia,2803660.0,616805.0,400923.0,30840.0,13000.0,0.0,5000.0,34.0,11.0,0.0,3.0,14.0,0.0,0.0,7.0,2.0,4.0,2094.0,0.0,25.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,370500000.0,29944000000.0,8800000000.0,2956000000.0,989000.0,15.0,2.0,48875.0,2628.0,255.0,0.0,0.0,25000.0,0.0,0.0,0.0,62297000000.0,0.0,32000.0,350000000.0,824292.0,1572.0,4220.0,,,2.6384,,,,,,Windhoek
Nepal,31122387.0,15249970.0,11733140.0,778060.0,95000.0,0.0,15000.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,1108.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409100000.0,144310000000.0,5838500000.0,12456000000.0,8937000.0,0.0,0.0,27990.0,59.0,51.0,0.0,0.0,62000.0,0.0,0.0,0.0,0.0,15000.0,1095000.0,8000000.0,147181.0,0.0,3159.0,,,,2.8915,,,,,Kathmandu
Netherlands,17772378.0,7997570.0,6486918.0,195496.0,41380.0,6765.0,5000.0,120.0,32.0,0.0,4.0,21.0,0.0,0.0,63.0,12.0,18.0,2755.0,46.0,0.0,2.0,64.0,0.0,0.0,3.0,0.0,6.0,0.0,4.0,4.0,27000000000.0,1240000000000.0,4779954300000.0,69830000000.0,9999000.0,1187.0,18.0,139124.0,3055.0,45.0,6237.0,70000.0,872000.0,137747000.0,17774000000.0,33243000000.0,132608000000.0,1825000.0,10610000.0,3247000000.0,41543.0,451.0,1053.0,0.6412,0.6412,,,0.6412,,,,Amsterdam
New Zealand,5161211.0,2219321.0,1775457.0,61935.0,8670.0,3250.0,300.0,48.0,0.0,0.0,8.0,13.0,6.0,0.0,21.0,0.0,0.0,2114.0,0.0,31.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3030000000.0,254770000000.0,209683100000.0,15487000000.0,3068000.0,117.0,22.0,94000.0,4128.0,202.0,0.0,12000.0,154000.0,40993000.0,3770000000.0,3819000000.0,31149000000.0,3036000.0,2441000.0,7575000000.0,268838.0,15134.0,0.0,,,,,,,,,Wellington
Nicaragua,6676948.0,3271705.0,2777610.0,146893.0,45000.0,0.0,5500.0,17.0,0.0,0.0,5.0,1.0,0.0,0.0,11.0,0.0,89.0,1869.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,92000000.0,51088000000.0,9053000000.0,5447000000.0,3264000.0,5.0,5.0,23897.0,0.0,39.0,2220.0,200.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130370.0,910.0,1253.0,,,,,,,,,Managua
Niger,26342784.0,7902835.0,5294900.0,447827.0,25000.0,0.0,5000.0,26.0,0.0,2.0,7.0,0.0,2.0,0.0,13.0,1.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336400000.0,44561000000.0,3844000000.0,1442772000.0,10237000.0,0.0,0.0,18949.0,0.0,26.0,300.0,6000.0,13000.0,150000000.0,29509000.0,29858000.0,0.0,457000.0,457000.0,90000000.0,1267000.0,0.0,5834.0,,,2.6689,,,,,,Niamey
